"country","year","fire_category","gas","total_biomass_Gg","total_emissions_Gg","CO2eq_Gg"
"Honduras",2010,"Forest","CH4",1682.70576861007,11442.3992265485,320387.178343357
"Honduras",2010,"Forest","N2O",1682.70576861007,336.541153722014,89183.4057363338
"Honduras",2010,"Savanna","CH4",814.642602593755,1873.67798596564,52462.9836070378
"Honduras",2010,"Savanna","N2O",814.642602593755,171.074946544688,45334.8608343424
