"country","year","biomass_burned_t","CH4_Gg","N2O_Gg","IPCC_Category","Subcategory","Tier","CO2_note"
"Honduras",2010,3365411.53722014,11442.3992265485,336.541153722014,"4.C.1","Fires - Forest Land","Tier 1","CO₂ reported via stock changes (Table 4.A)"
"Honduras",2010,1629285.20518751,1873.67798596564,171.074946544688,"4.F.1","Fires - Grassland","Tier 1","CO₂ excluded (Tier 1 synchrony assumption)"
